[2026-07-20 16:07:44.549] [DEBUG] [Game] Game: ai1_win | moves=49 | defense=12 | winner=AI1
[2026-07-20 16:07:44.589] [DEBUG] [Game] Game: ai1_win | moves=16 | defense=2 | winner=AI1
[2026-07-20 16:07:44.679] [DEBUG] [Game] Game: ai1_win | moves=51 | defense=13 | winner=AI1
[2026-07-20 16:07:44.721] [DEBUG] [Game] Game: ai1_win | moves=16 | defense=2 | winner=AI1
[2026-07-20 16:07:44.792] [DEBUG] [Game] Game: ai1_win | moves=33 | defense=7 | winner=AI1
[2026-07-20 16:07:44.848] [DEBUG] [Game] Game: ai1_win | moves=30 | defense=12 | winner=AI1
[2026-07-20 16:07:44.909] [DEBUG] [Game] Game: ai2_win | moves=28 | defense=7 | winner=AI2
[2026-07-20 16:07:45.013] [DEBUG] [Game] Game: ai2_win | moves=65 | defense=13 | winner=AI2
[2026-07-20 16:07:45.119] [DEBUG] [Game] Game: draw | moves=81 | defense=12 | winner=Draw
[2026-07-20 16:07:45.172] [DEBUG] [Game] Game: ai1_win | moves=22 | defense=3 | winner=AI1
[2026-07-20 16:07:45.273] [DEBUG] [Game] Game: draw | moves=81 | defense=17 | winner=Draw
[2026-07-20 16:07:45.372] [DEBUG] [Game] Game: draw | moves=81 | defense=16 | winner=Draw
[2026-07-20 16:07:45.450] [DEBUG] [Game] Game: ai2_win | moves=44 | defense=9 | winner=AI2
[2026-07-20 16:07:45.539] [DEBUG] [Game] Game: ai1_win | moves=44 | defense=8 | winner=AI1
[2026-07-20 16:07:45.611] [DEBUG] [Game] Game: ai2_win | moves=40 | defense=17 | winner=AI2
[2026-07-20 16:07:45.726] [DEBUG] [Game] Game: ai1_win | moves=72 | defense=7 | winner=AI1
[2026-07-20 16:07:45.781] [DEBUG] [Game] Game: ai1_win | moves=25 | defense=4 | winner=AI1
[2026-07-20 16:07:45.868] [DEBUG] [Game] Game: ai1_win | moves=44 | defense=6 | winner=AI1
[2026-07-20 16:07:45.979] [DEBUG] [Game] Game: draw | moves=81 | defense=1 | winner=Draw
[2026-07-20 16:07:46.031] [DEBUG] [Game] Game: ai2_win | moves=25 | defense=3 | winner=AI2
[2026-07-20 16:07:46.080] [DEBUG] [Game] Game: ai2_win | moves=20 | defense=3 | winner=AI2
